stadium_name,city,country,capacity,opening_year,latitude,longitude,status
Hassan II Stadium,Benslimane,Morocco,115000,2029,33.6167,-7.1833,Under Construction
New Trafford Stadium,Trafford,England,100000,2030,53.4631,-2.2914,Proposed
King Salman International Stadium,Riyadh,Saudi Arabia,92000,2032,24.7136,46.6753,Under Construction
New CR Flamengo Stadium,Rio de Janeiro,Brazil,80000,2029,-22.9068,-43.1729,Under Construction
Jaipur Cricket Stadium,Jaipur,India,75000,2027,26.9124,75.7873,Under Construction
Guangzhou Football Park,Guangzhou,China,74404,2026,23.1291,113.2644,Under Construction
New Milan Stadium,Milan,Italy,71500,2030,45.4642,9.1900,Proposed
Nou Mestalla,Valencia,Spain,70044,2027,39.4699,-0.3763,Under Construction
New National Stadium,Tbilisi,Georgia,70000,2028,41.7151,44.8271,Proposed
New Commanders Stadium,Washington DC,USA,65000,2030,38.9072,-77.0369,Proposed
Leazes Park Stadium,Newcastle,England,65000,2031,54.9783,-1.6178,Proposed
Nuevo Estadio Tigres,San Nicolás,Mexico,65000,2027,25.7413,-100.2803,Under Construction
Brisbane Olympic Stadium,Brisbane,Australia,63000,2032,-27.4698,153.0251,Proposed
Addis Ababa National Stadium,Addis Ababa,Ethiopia,62000,2028,9.0320,38.7469,Proposed
New Highmark Stadium,Orchard Park,USA,62000,2026,42.7738,-78.7869,Under Construction
New Birmingham City Stadium,Birmingham,England,62000,2029,52.4862,-1.8904,Proposed
Talanta Sports Stadium,Nairobi,Kenya,60000,2025,-1.2921,36.8219,Under Construction
New Nissan Stadium,Nashville,USA,60000,2027,36.1627,-86.7816,Under Construction
New Bengaluru Stadium,Bommasandra,India,60000,2028,12.8079,77.7102,Proposed
New Hamburg Olympic Stadium,Hamburg,Germany,60000,2028,53.5511,9.9937,Proposed
Tajiat Olympic Stadium,Tajiat,Iraq,60000,2027,33.3387,44.3939,Proposed
Chicago Bears Stadium,Arlington Heights,USA,60000,2031,42.0883,-87.9806,Proposed
Aw Abadir Stadium,Harar,Ethiopia,56000,2028,9.3133,42.1250,Proposed
New Hertha-Stadium,Berlin,Germany,55137,2027,52.5200,13.4050,Under Construction
New AS Roma Stadium,Rome,Italy,55000,2028,41.9028,12.4964,Under Construction
New Ramón Sánchez-Pizjuán Stadium,Seville,Spain,55000,2028,37.3891,-5.9845,Proposed
New İzmir Atatürk Stadium,İzmir,Turkey,55000,2027,38.4237,27.1428,Under Construction
Auckland Waterfront Stadium,Auckland,New Zealand,55000,2028,-36.8485,174.7633,Proposed
New National Stadium,Belgrade,Serbia,52000,2026,44.7866,20.4489,Under Construction
New América Stadium,Cali,Colombia,52000,2027,3.4516,-76.5320,Proposed
National Stadium,Bishkek,Kyrgyzstan,51000,2026,42.8746,74.5698,Under Construction
Rafi Cricket Stadium,Karachi,Pakistan,50000,2025,24.8607,67.0011,Proposed
National Cricket Ground,Dhaka,Bangladesh,50000,2026,23.8103,90.4125,Under Construction
New Sétif Stadium,Sétif,Algeria,50000,2027,36.1905,5.4107,Proposed
New Ankara Stadium,Ankara,Turkey,50000,2025,39.9334,32.8597,Under Construction
New Tsukiji Stadium,Tokyo,Japan,50000,2032,35.6762,139.6503,Proposed
Estadio Nacional de El Salvador,San Salvador,El Salvador,50000,2027,13.6929,-89.2182,Under Construction
Nuevo Estadio Azul,Tlalnepantla,Mexico,50000,2027,19.5289,-99.2036,Proposed
Rạch Chiếc Sport Complex Stadium,Ho Chi Minh City,Vietnam,50000,2028,10.8231,106.6297,Under Construction
Prince Mohammed bin Salman Stadium,Riyadh,Saudi Arabia,46979,2027,24.7136,46.6753,Under Construction
South Riyadh Stadium,Riyadh,Saudi Arabia,47060,2032,24.6238,46.7152,Proposed
New Estadio El Campín,Bogotá,Colombia,46500,2028,4.6486,-74.0772,Under Construction
New San Lorenzo Stadium,Buenos Aires,Argentina,46264,2028,-34.6037,-58.3816,Proposed
Aramco Stadium,Khobar,Saudi Arabia,46096,2032,26.2361,50.0393,Proposed
Neom Stadium,Neom,Saudi Arabia,46096,2032,27.9506,35.2733,Proposed
Qiddiya Coast Stadium,Jeddah,Saudi Arabia,46010,2032,21.5433,39.1728,Proposed
New Murabba Stadium,Riyadh,Saudi Arabia,46010,2032,24.7136,46.6753,Proposed
Roshn Stadium,Riyadh,Saudi Arabia,46000,2032,24.7136,46.6753,Proposed
King Abdullah Economic City Stadium,Jeddah,Saudi Arabia,45700,2032,22.3964,39.1041,Proposed
New Dammam Stadium,Dammam,Saudi Arabia,45000,2026,26.4207,50.0888,Under Construction
New Shah Alam Stadium,Shah Alam,Malaysia,45000,2029,3.0738,101.5183,Under Construction
Nuevo Romareda,Zaragoza,Spain,43184,2027,41.6488,-0.8891,Under Construction
New Al-Ahly Stadium,Cairo,Egypt,42000,2029,30.0444,31.2357,Proposed
Nea Toumba Stadium,Thessaloniki,Greece,41926,2027,40.6401,22.9444,Under Construction
Olympic Stadium,Rinas,Albania,41508,2027,41.4145,19.7206,Proposed
New Club Brugge Stadium,Bruges,Belgium,40116,2027,51.2093,3.2247,Under Construction
New Stade Rennais Stadium,Rennes,France,40000,2027,48.1173,-1.6778,Proposed
New Memorial Stadium,Lawrence,USA,40000,2025,38.9717,-95.2353,Under Construction
Nalanda International Cricket Stadium,Rajgir,India,40000,2027,25.0285,85.4212,Proposed
New Panathinaikos Stadium,Athens,Greece,40000,2027,37.9838,23.7275,Under Construction
Udaipur International Cricket Stadium,Udaipur,India,35000,2027,24.5854,73.7125,Proposed
New Ryan Field,Evanston,USA,35000,2026,42.0664,-87.6921,Under Construction
USF Football Stadium,Tampa,USA,35000,2027,28.0586,-82.4572,Under Construction
New Almaty Stadium,Almaty,Kazakhstan,35000,2027,43.2220,76.8512,Proposed
Shymkent Stadium,Shymkent,Kazakhstan,35000,2026,42.3000,69.6000,Under Construction
New Mizuho Athletic Stadium,Nagoya,Japan,35000,2026,35.1815,136.9066,Under Construction
New White Sox Ballpark,Chicago,USA,35000,2028,41.8781,-87.6298,Proposed
ACA International Cricket Stadium,Amaravati,India,34000,2027,16.5449,80.5170,Proposed
New Maksimir Stadium,Zagreb,Croatia,34000,2029,45.8150,16.0000,Under Construction
New Las Vegas Stadium,Las Vegas,USA,33000,2028,36.1699,-115.1398,Under Construction
Aktobe Stadium,Aktobe,Kazakhstan,33000,2027,50.2839,57.1670,Proposed
Babil Stadium,Hillah,Iraq,32200,2027,32.4721,44.4183,Proposed
New Arechi Stadium,Salerno,Italy,32000,2032,40.6824,14.7681,Proposed
Ammo Baba Stadium,Baghdad,Iraq,31200,2027,33.3152,44.3661,Proposed
Arena Vila Belmiro,Santos,Brazil,30108,2027,-23.9618,-46.3322,Proposed
Taichung Super Dome,Taichung City,Taiwan,30000,2030,24.1477,120.6736,Proposed
New Jamsil Baseball Stadium,Seoul,South Korea,30000,2032,37.5665,127.0000,Proposed
New Dan Păltinișanu Stadium,Timișoara,Romania,30000,2028,45.7489,21.2087,Under Construction
New Casement Park,Belfast,Northern Ireland,30000,2027,54.5973,-5.9301,Proposed
New Youth Park Stadium,Split,Croatia,30000,2028,43.5081,16.4402,Proposed
Dushanbe Stadium,Dushanbe,Tajikistan,30000,2026,38.5598,68.7738,Under Construction
New National Stadium,Drenas,Kosovo,30000,2027,42.6220,20.8900,Proposed
Al Sunbula Stadium,Diwaniyah,Iraq,30000,2027,31.9989,44.9257,Proposed
Salah Al Din Stadium,Tikrit,Iraq,30000,2027,34.6098,43.6778,Proposed
Diyala Stadium,Baqubah,Iraq,30000,2027,33.7491,44.6543,Proposed
Mosul International Stadium,Mosul,Iraq,30000,2027,36.3350,43.1189,Proposed
New Aalborg Stadium,Aalborg,Denmark,30000,2027,57.0488,9.9217,Proposed
New Mohammed Al Hamad Stadium,Kuwait City,Kuwait,30000,2027,29.3759,47.9774,Proposed
Varanasi Cricket Stadium,Varanasi,India,30000,2025,25.3176,82.9739,Under Construction
One New Zealand Stadium,Christchurch,New Zealand,30000,2026,-43.5321,172.6362,Under Construction